Circle,City Name A,Tier1,City Name B,Tier2,Location A M6,Location B M6,Link wise Peak Traffic(Gbps),Link wise 95% Traffic(Gbps)
KK,BAGALKOT-,T3,Hubli,T2,BGT/NAV/002,HBL/DJB/001,38,36
KK,BAGALKOT-,T3,Mangalore,T2,BGT/NAV/002,MRG/BIA/013,29,27
UPE,Behraich,T3,Gangaganj,T2,BHR/KDC/001,GNJ/MDF/001 ,104,97
UPE,Behraich,T3,Gorakhpur,T2,BHR/KDC/001,GKP/OTN/003,24,23
UPE,Behraich,T3,Lucknow,T2,BHR/KDC/001,LCK/VKH/028,97,92
KK,BIJAPUR,T3,Hubli,T2,BJP/SMR/001,HBL/DJB/001,67,62
UPW,Bijnaur,T3,Meerut,T2,BJR/BRW/001,MRT/GNG/010,56,51
UPW,Bijnaur,T3,Moradabad,T2,BJR/BRW/001,MBD/MHD/042,86,74
RAJ,Bikaner,T3,Jaipur,T2,BKN/CIV/003,JPR/VIA/049,101,92
RAJ,Bikaner,T3,Jodhpur,T2,BKN/CIV/003,JOD/BIA/007,89,83
BHJH,Bokaro,T3,Ranchi,T2,BKO/GOL/001,RCH/NHB/040 ,106,101
BHJH,Bokaro,T3,Bhagalpur,T2,BKO/GOL/001,BHA/NHN/013,86,80
WB,BANKURA,T3,Asansol,T2,BKU/MAC/001,ASL/UGM/007,44,42
WB,BANKURA,T3,Kharagpur (NEW),T1,BKU/MAC/001,KHP/JKP/023,80,77
KK,Bellary,T3,Bangalore Hosur Road,T1,BLL/SNY/012,BGL/LSU/901,65,60
KK,Bellary,T3,Bangalore YMCA,T1,BLL/SNY/012,BGL/YMC/001,18,16
KK,Bellary,T3,Hubli,T2,BLL/SNY/012,HBL/DJB/001,15,14
KK,Belgaum,T3,Hubli,T2,BLM/FOR/001,HBL/DJB/001,66,42
KK,Belgaum,T3,Mangalore,T2,BLM/FOR/001,MRG/BIA/013,246,230
UPE,BANDA,T3,Gangaganj,T2,BNA/BHW/001,GNJ/MDF/001 ,63,60
ORR,BOLANGIR,T3,Bhuvaneswar,T2,BOR/SGP/001,BWR/CIE/058,72,66
ORR,BOLANGIR,T3,Sambalpur,T2,BOR/SGP/001,SAM/ATP/005,38,35
ORR,BARIPADA,T3,Bhuvaneswar,T2,BPD/BDO/002,BWR/CIE/058,30,29
ORR,BARIPADA,T3,Sambalpur,T2,BPD/BDO/002,SAM/ATP/005,0,0
MPCG,BILASPUR,T3,Jabalpur,T2,BPR/TEL/001,JBL/VIJ/001,140,133
MPCG,BILASPUR,T3,Raipur,T2,BPR/TEL/001,RAI/TBD/001,92,87
MPCG,BIORA,T3,Bhopal(GP),T1,BRA/NIB/003,BPL/GPR/017,46,43
MPCG,BIORA,T3,Jabalpur,T2,BRA/NIB/003,JBL/VIJ/001,47,44
JK,Sapore,T3,Jammu,T2,BRF/SPR/017,JMU/PRA/001,17,15
JK,Sapore,T3,SRINAGAR,T2,BRF/SPR/017,SIG/MAR/001,113,105
BHJH,BARHI,T3,Patna,T2,BRJ/GRD/001,PTN/PIA/081,50,46
BHJH,BARHI,T3,Ranchi,T2,BRJ/GRD/001,RCH/NHB/040 ,76,71
ORR,Behrampur-ORR,T3,Bhuvaneswar,T2,BRR/BIG/001,BWR/CIE/058,144,133
ORR,Behrampur-ORR,T3,Sambalpur,T2,BRR/BIG/001,SAM/ATP/005,7,6
UPW,Bareilly,T3,AGRA,T2,BRY/CIV/001,AGR/DCY/019,33,29
UPW,Bareilly,T3,Moradabad,T2,BRY/CIV/001,MBD/MHD/042,207,192
ORR,Balasore,T3,Bhuvaneswar,T2,BSO/DAD/003,BWR/CIE/058,59,57
ORR,Balasore,T3,Sambalpur,T2,BSO/DAD/003,SAM/ATP/005,25,24
RAJ,BANSWARA,T3,Jaipur,T2,BSW/KUS/001,JPR/VIA/049,84,78
RAJ,BANSWARA,T3,Udaipur,T2,BSW/KUS/001,UPR/MIA/015,73,66
PB,Bhatinda,T3,Ludhiana,T2,BTD/GUN/001,LDN/FPA/013,113,107
PB,Bhatinda,T3,Mohali,T2,BTD/GUN/001,MOH/C25/001,192,172
RAJ,Bharatpur,T3,Jaipur,T2,BTP/SAR/003,JPR/VIA/049,114,106
RAJ,Bharatpur,T3,Udaipur,T2,BTP/SAR/003,UPR/MIA/015,95,86
WB,BUNIYADPUR,T3,Behrampur-WB,T2,BUN/PSB/001,BMP/NMT/010,82,69
WB,BUNIYADPUR,T3,Siliguri,T2,BUN/PSB/001,SIL/NJB/037,66,57
UPW,Bulandshahar,T3,AGRA,T2,BUS/HSH/001,AGR/DCY/019,66,62
UPW,Bulandshahar,T3,Meerut,T2,BUS/HSH/001,MRT/GNG/010,80,75
GUJ,Bhavnagar,T3,Ahmedabad(Changodhar),T2,BVG/DNG/014,CGR/RDM/001,69,64
GUJ,Bhavnagar,T3,Rajkot,T2,BVG/DNG/014,RKT/NRT/030,100,92
RAJ,Bhilwara,T3,Jaipur,T2,BWA/HAR/001,JPR/VIA/049,34,31
RAJ,Bhilwara,T3,Udaipur,T2,BWA/HAR/001,UPR/MIA/015,134,123
ORR,BHAWANIPATNA,T3,Bhuvaneswar,T2,BWP/RKT/011,BWR/CIE/058,26,24
ORR,BHAWANIPATNA,T3,Sambalpur,T2,BWP/RKT/011,SAM/ATP/005,25,22
TN,Coimbatore,T3,Pollachi,T2,CBT/ARD/001,PLC/RIP/004,624,590
TN,Coimbatore,T3,Salem,T2,CBT/ARD/001,SLM/SIV/006,125,118
HAR,CHARKHIDADRI,T3,Hisar,T2,CDD/NHB/001,HIS/SNG/001,19,17
HAR,CHARKHIDADRI,T3,Manesar,T1,CDD/NHB/001,MAS/OMU/002,135,127
TN,Cuddalore,T3,Salem,T2,CDL/NMR/003,SLM/SIV/006,23,22
TN,Cuddalore,T3,Chennai Serisuri,T1,CDL/NMR/003,CHN/SSE/036,39,36
TN,Cuddalore,T3,Chennai Serisuri-2,T1,CDL/NMR/003,CHN/SE2/068,50,48
UPW,Chandausi,T3,Meerut,T2,CDS/MGR/001,MRT/GNG/010,53,49
UPW,Chandausi,T3,Moradabad,T2,CDS/MGR/001,MBD/MHD/042,93,86
MH,CHANDRAPUR,T3,Nagpur,T2,CHA/SMR/003,NGP/CSQ/130,39,38
MH,CHANDRAPUR,T3,Nagpur,T2,CHA/SMR/003,NGP/CSQ/130,13,12
MH,CHANDRAPUR,T3,Nagpur,T2,CHA/SMR/003,NGP/CSQ/130,61,58
MH,CHANDRAPUR,T3,NANDEDT2,T2,CHA/SMR/003,NND/HTN/002,11,10
TN,CHIDAMBARAM,T3,Salem,T2,CHM/AMH/001,SLM/SIV/006,20,18
TN,CHIDAMBARAM,T3,TRICHY,T2,CHM/AMH/001,TCY/BRD/001,134,123
WB,COOCHBIHAR,T3,Behrampur-WB,T2,COO/MCH/003,BMP/NMT/010,48,42
WB,COOCHBIHAR,T3,Siliguri,T2,COO/MCH/003,SIL/NJB/037,152,142
MPCG,Chhatarpur,T3,Bhopal(GP),T1,CPU/PRD/001,BPL/GPR/017,65,62
MPCG,Chhatarpur,T3,SATNA,T2,CPU/PRD/001,STN/JNR/008,42,37
KK,CHITRADURGA,T3,Hubli,T2,CTD/AIH/005,HBL/DJB/001,13,12
KK,CHITRADURGA,T3,Mangalore,T2,CTD/AIH/005,MRG/BIA/013,107,101
ORR,Cuttak,T3,Bhuvaneswar,T2,CTK/NLB/006,BWR/CIE/058,157,149
ORR,Cuttak,T3,Sambalpur,T2,CTK/NLB/006,SAM/ATP/005,18,18
WB,DALKHOLA,T3,Behrampur-WB,T2,DAL/PSK/001,BMP/NMT/010,39,30
WB,DALKHOLA,T3,Siliguri,T2,DAL/PSK/001,SIL/NJB/037,61,58
JK,BATOTE,T3,Jammu,T2,DDD/NMM/003,JMU/PRA/001,53,51
JK,BATOTE,T3,SRINAGAR,T2,DDD/NMM/003,SIG/MAR/001,20,19
TN,Dindigul,T3,Madurai,T2,DDL/PNS/001,MAD/DSP/001,39,37
TN,Dindigul,T3,TRICHY,T2,DDL/PNS/001,TCY/BRD/001,50,47
MH,Dhule,T3,NANDEDT2,T2,DHU/MCR/001,NND/HTN/002,55,51
MH,Dhule,T3,Pune Epark,T2,DHU/MCR/001,PUN/EPK/059,258,247
RAJ,DEOLI,T3,Jaipur,T2,DLI/KCN/001,JPR/VIA/049,37,34
RAJ,DEOLI,T3,Udaipur,T2,DLI/KCN/001,UPR/MIA/015,25,23
BHJH,DALTONGAN,T3,Patna,T2,DLT/RMA/003,PTN/PIA/081,84,79
BHJH,DALTONGAN,T3,Ranchi,T2,DLT/RMA/003,RCH/NHB/040 ,34,31
HPHP,Dharamshala,T3,Mohali,T2,DMA/KGD/007,MOH/C25/001,62,56
HPHP,Dharamshala,T3,Shimla,T2,DMA/KGD/007,SIM/PAN/004,15,14
BHJH,Dumka,T3,Ranchi,T2,DMK/RSP/001,RCH/NHB/040 ,34,32
BHJH,Dumka,T3,Bhagalpur,T2,DMK/RSP/001,BHA/NHN/013,100,94
UPW,Dehradun(Old),T3,AGRA,T2,DND/NTN/001,AGR/DCY/019,0,0
UPW,Dehradun(Old),T3,Meerut,T2,DND/NTN/001,MRT/GNG/010,0,0
UPW,DEHRADHUN,T3,Moradabad,T2,DND/PCT/016,MBD/MHD/042,216,204
UPW,DEHRADHUN,T3,Meerut,T2,DND/PCT/016,MRT/GNG/010,237,223
WB,Durgapur,T3,Asansol,T2,DPR/SPR/006,ASL/UGM/007,76,71
WB,Durgapur,T3,Behrampur-WB,T2,DPR/SPR/006,BMP/NMT/010,36,34
NESA,Dimapur,T3,Guwahati,T2,DPU/BCP/001,GHT/GSR/001,70,65
NESA,Dimapur,T3,Jorhat,T2,DPU/BCP/001,JHT/MBJ/013,53,49
GUJ,DHORAJI,T3,Ahmedabad(Changodhar),T2,DRJ/BDH/001,CGR/RDM/001,86,79
GUJ,DHORAJI,T3,Rajkot,T2,DRJ/BDH/001,RKT/NRT/030,61,55
TN,Dharmapuri,T3,Pollachi,T2,DRM/PEN/001,PLC/RIP/004,114,106
TN,Dharmapuri,T3,Salem,T2,DRM/PEN/001,SLM/SIV/006,47,43
KK,Davangere,T3,Hubli,T2,DVG/MCB/001,HBL/DJB/001,50,47
KK,Davangere,T3,Mangalore,T2,DVG/MCB/001,MRG/BIA/013,172,132
MPCG,Dewas,T3,Bhopal(GP),T1,DWS/ABR/002,BPL/GPR/017,81,78
MPCG,Dewas,T3,Jabalpur,T2,DWS/ABR/002,JBL/VIJ/001,91,85
MH,Edlabad,T3,Nagpur,T2,EBD/BHA/001,NGP/CSQ/130,135,127
MH,Edlabad,T3,NANDEDT2,T2,EBD/BHA/001,NND/HTN/002,120,113
TN,Erode,T3,Pollachi,T2,ERD/SKC/009,PLC/RIP/004,150,141
TN,Erode,T3,Salem,T2,ERD/SKC/009,SLM/SIV/006,46,43
UPW,Etah,T3,AGRA,T2,ETA/BAB/008,AGR/DCY/019,39,36
UPW,Etah,T3,Meerut,T2,ETA/BAB/008,MRT/GNG/010,110,102
UPW,Etawah,T3,AGRA,T2,ETW/FRI/001,AGR/DCY/019,114,98
UPW,Etawah,T3,Meerut,T2,ETW/FRI/001,MRT/GNG/010,165,155
BHJH,FORBESGANJ,T3,Bhagalpur,T2,FBG/ZME/001,BHA/NHN/013,101,93
BHJH,FORBESGANJ,T3,Patna,T2,FBG/ZME/001,PTN/PIA/081,248,230
HAR,Fatehabad,T3,Hisar,T2,FHD/SIR/001,HIS/SNG/001,13,13
HAR,Fatehabad,T3,Mohali,T2,FHD/SIR/001,MOH/C25/001,65,62
PB,FEROZPUR,T3,Jalandhar,T2,FRP/AAL/005,JLD/FCP/010,35,31
PB,FEROZPUR,T3,Ludhiana,T2,FRP/AAL/005,LDN/FPA/013,42,39
UPE,Fatehpur,T3,Gangaganj,T2,FTH/SRN/001,GNJ/MDF/001 ,78,73
UPE,Fatehpur,T3,Lucknow,T2,FTH/SRN/001,LCK/VKH/028,19,16
UPE,Fatehpur,T3,Varanasi,T2,FTH/SRN/001,BRS/TVS/026,41,38
UPE,Faizabad,T3,Gangaganj,T2,FZB/CIV/003,GNJ/MDF/001 ,164,154
UPE,Faizabad,T3,Gorakhpur,T2,FZB/CIV/003,GKP/OTN/003,35,33
UPE,Faizabad,T3,Lucknow,T2,FZB/CIV/003,LCK/VKH/028,115,110
UPW,Gajraula,T3,Meerut,T2,GAJ/BAS/001,MRT/GNG/010,28,27
UPW,Gajraula,T3,Moradabad,T2,GAJ/BAS/001,MBD/MHD/042,35,33
GUJ,Gamdi,T3,Ahmedabad(Changodhar),T2,GAM/RCS/001,CGR/RDM/001,80,77
GUJ,Gamdi,T3,Surat,T2,GAM/RCS/001,SUR/UNR/901,21,18
KK,GADAG,T3,Hubli,T2,GDG/KCR/001,HBL/DJB/001,34,32
KK,GADAG,T3,Mangalore,T2,GDG/KCR/001,MRG/BIA/013,34,31
GUJ,Godhra,T3,Surat,T2,GDH/PPR/001,SUR/UNR/901,6,6
GUJ,Godhra,T3,Ahmedabad(Changodhar),T2,GDH/PPR/001,CGR/RDM/001,88,81
KK,Gulbarga,T3,Hubli,T2,GGA/SBT/003,HBL/DJB/001,65,59
MPCG,GUNA,T3,SATNA,T2,GNA/JTR/002,STN/JNR/008,20,19
MPCG,GUNA,T3,Bhopal(GP),T1,GNA/JTR/002,BPL/GPR/017,87,78
UPE,Gonda,T3,Gangaganj,T2,GON/MKT/001,GNJ/MDF/001 ,119,115
UPE,Gonda,T3,Gorakhpur,T2,GON/MKT/001,GKP/OTN/003,48,45
UPE,Gonda,T3,Lucknow,T2,GON/MKT/001,LCK/VKH/028,0,0
RAJ,GANGAPUR,T3,Jaipur,T2,GPC/SDR/001,JPR/VIA/049,43,39
RAJ,GANGAPUR,T3,Udaipur,T2,GPC/SDR/001,UPR/MIA/015,47,44
BHJH,Gopalganj,T3,Bhagalpur,T2,GPJ/NTL/001,BHA/NHN/013,50,46
BHJH,Gopalganj,T3,Patna,T2,GPJ/NTL/001,PTN/PIA/081,696,623
PB,Gurdaspur,T3,Jalandhar,T2,GRD/HAC/001,JLD/FCP/010,55,50
PB,Gurdaspur,T3,Ludhiana,T2,GRD/HAC/001,LDN/FPA/013,98,88
TN,GUDALORE,T3,Calicut,T2,GUO/MMR/001,CLT/NEC/013,10,9
TN,GUDALORE,T3,Pollachi,T2,GUO/MMR/001,PLC/RIP/004,26,24
MPCG,Gwalior,T3,SATNA,T2,GWR/CIC/002,STN/JNR/008,70,65
MPCG,Gwalior,T3,AGRA,T2,GWR/CIC/002,AGR/DCY/019,0,0
MPCG,Gwalior,T3,Bhopal(GP),T1,GWR/CIC/002,BPL/GPR/017,338,317
BHJH,GAYA,T3,Patna,T2,GYA/CLG/001,PTN/PIA/081,194,184
BHJH,GAYA,T3,Ranchi,T2,GYA/CLG/001,RCH/NHB/040 ,85,79
WB,HABRA,T3,Asansol,T2,HAB/SUR/001,ASL/UGM/007,91,86
WB,HABRA,T3,Behrampur-WB,T2,HAB/SUR/001,BMP/NMT/010,58,53
AP,HINDUPUR,T3,Adoni,T2,HDR/PKR/001,ADI/MRD/004,12,11
AP,HINDUPUR,T3,Prodattur,T2,HDR/PKR/001,PDR/PDR/004,20,19
WB,HELENCHA,T3,Asansol,T2,HEL/BER/001,ASL/UGM/007,67,66
WB,HELENCHA,T3,Behrampur-WB,T2,HEL/BER/001,BMP/NMT/010,55,52
HPHP,HAMIRPUR,T3,Mohali,T2,HMP/LIC/002,MOH/C25/001,29,26
HPHP,HAMIRPUR,T3,Shimla,T2,HMP/LIC/002,SIM/PAN/004,54,49
GUJ,HIMMATNAGAR,T3,Ahmedabad(Changodhar),T2,HMR/IRD/001,CGR/RDM/001,86,79
GUJ,HIMMATNAGAR,T3,Surat,T2,HMR/IRD/001,SUR/UNR/901,32,29
TN,HOSUR,T3,Salem,T2,HOS/ABR/004,SLM/SIV/006,57,51
TN,HOSUR,T3,Pollachi,T2,HOS/ABR/004,PLC/RIP/004,68,61
PB,Hoshiarpur,T3,Jalandhar,T2,HSH/JRD/001,JLD/FCP/010,17,16
PB,Hoshiarpur,T3,Mohali,T2,HSH/JRD/001,MOH/C25/001,35,33
HAR,HANSI,T3,Ambala,T2,HSI/BRD/001,AMB/SHA/001,28,26
HAR,HANSI,T3,Hisar,T2,HSI/BRD/001,HIS/SNG/001,20,19
KK,HASSAN,T3,Mangalore,T2,HSN/HEM/001,MRG/BIA/013,74,68
KK,HASSAN,T3,Mangalore,T2,HSN/HEM/001,MRG/BIA/013,37,34
KK,HASSAN,T3,Bangalore WFD,T1,HSN/HEM/001,BGL/WFD/049,110,102
KK,Hospet,T3,Hubli,T2,HSP/BAS/003,HBL/DJB/001,70,64
KK,Hospet,T3,Mangalore,T2,HSP/BAS/003,MRG/BIA/013,96,89
MH,HATHKHAMBA,T3,Kolhapur,T2,HTK/HTV/001,KPR/NGC/012,28,26
MH,HATHKHAMBA,T3,Pune Epark,T2,HTK/HTV/001,PUN/EPK/059,69,65
UPW,Haridwar,T3,Meerut,T2,HWR/BOP/001,MRT/GNG/010,106,100
UPW,Haridwar,T3,Moradabad,T2,HWR/BOP/001,MBD/MHD/042,123,113
NESA,Itanagar,T3,Guwahati,T2,IAR/GMT/001,GHT/GSR/001,139,130
NESA,Itanagar,T3,Guwahati,T2,IAR/GMT/001,GHT/GSR/001,0,0
NESA,Itanagar,T3,Jorhat,T2,IAR/GMT/001,JHT/MBJ/013,104,98
NESA,Imphal,T3,Guwahati,T2,IMP/THM/004,GHT/GSR/001,292,266
NESA,Imphal,T3,Jorhat,T2,IMP/THM/004,JHT/MBJ/013,63,58
MPCG,Indore,T3,Bhopal(GP),T1,IND/GEE/005,BPL/GPR/017,556,398
MPCG,Indore,T3,Jabalpur,T2,IND/GEE/005,JBL/VIJ/001,444,201
MPCG,Itarasi,T3,Bhopal(GP),T1,ITS/NFO/003,BPL/GPR/017,68,46
MPCG,Itarasi,T3,Jabalpur,T2,ITS/NFO/003,JBL/VIJ/001,32,30
HAR,Yamunanagar,T3,Ambala,T2,JGD/RCO/001,AMB/SHA/001,51,47
HAR,Yamunanagar,T3,Mohali,T2,JGD/RCO/001,MOH/C25/001,75,68
ORR,JHARSUGUDA,T3,Bhuvaneswar,T2,JHA/BCK/006,BWR/CIE/058,34,31
ORR,JHARSUGUDA,T3,Sambalpur,T2,JHA/BCK/006,SAM/ATP/005,14,13
UPE,Jhansi,T3,Lucknow,T2,JHI/GWR/002,LCK/VKH/028,25,24
UPE,Jhansi,T3,Varanasi,T2,JHI/GWR/002,BRS/TVS/026,40,37
UPE,Jhansi,T3,Gangaganj,T2,JHI/GWR/002,GNJ/MDF/001 ,84,78
HPHP,Jawalaji,T3,Mohali,T2,JJI/KSB/001,MOH/C25/001,14,12
HPHP,Jawalaji,T3,Shimla,T2,JJI/KSB/001,SIM/PAN/004,40,31
MH,JALNA,T3,NANDEDT2,T2,JLN/DWT/002,NND/HTN/002,71,66
MH,JALNA,T3,Pune Epark,T2,JLN/DWT/002,PUN/EPK/059,193,178
BHJH,Jamui,T3,Bhagalpur,T2,JMI/PJI/002,BHA/NHN/013,37,29
BHJH,Jamui,T3,Patna,T2,JMI/PJI/002,PTN/PIA/081,69,66
GUJ,JAMNAGA,T3,Ahmedabad(Changodhar),T2,JMN/NDA/004,CGR/RDM/001,31,28
GUJ,JAMNAGA,T3,Rajkot,T2,JMN/NDA/004,RKT/NRT/030,87,82
HAR,Jind,T3,Ambala,T2,JND/SNR/039,AMB/SHA/001,56,53
HAR,Jind,T3,Hisar,T2,JND/SNR/039,HIS/SNG/001,24,23
UPE,Jaunpur,T3,Gorakhpur,T2,JNP/WZP/001,GKP/OTN/003,54,52
UPE,Jaunpur,T3,Varanasi,T2,JNP/WZP/001,BRS/TVS/026,63,60
ORR,JASHIPUR,T3,Sambalpur,T2,JSI/LDS/001,SAM/ATP/005,12,11
ORR,JASHIPUR,T3,Bhuvaneswar,T2,JSI/LDS/001,BWR/CIE/058,32,30
BHJH,Jamshedpur,T3,Ranchi,T2,JSP/PMO/037,RCH/NHB/040 ,163,154
BHJH,Jamshedpur,T3,Bhagalpur,T2,JSP/PMO/037,BHA/NHN/013,91,84
AP,KARIMNAGAR,T3,HYDERABAD UPPAL,T1,KAA/MNH/003,HYD/UPL/121,298,284
AP,KARIMNAGAR,T3,Vijaywada,T2,KAA/MNH/003,VJW/NMU/040,136,124
UPE,Kanpur,T3,Varanasi,T2,KAN/KNG/053,BRS/TVS/026,88,82
UPE,Kanpur,T3,Gangaganj,T2,KAN/KNG/053,GNJ/MDF/001 ,194,180
UPE,Kanpur,T3,Lucknow,T2,KAN/KNG/053,LCK/VKH/028,132,126
TN,Karur,T3,Salem,T2,KAR/NKT/001,SLM/SIV/006,59,53
TN,Karur,T3,TRICHY,T2,KAR/NKT/001,TCY/BRD/001,46,43
TN,Kanchipuram,T3,Chennai Serisuri,T1,KCM/KAS/001,CHN/SSE/036,50,46
TN,Kanchipuram,T3,Chennai Serisuri-2,T1,KCM/KAS/001,CHN/SE2/068,38,36
TN,Kanchipuram,T3,Chennai Santhome,T1,KCM/KAS/001,CHN/FOR/001,54,51
BHJH,KHAGARIA,T3,Bhagalpur,T2,KGA/MGR/001,BHA/NHN/013,94,89
BHJH,KHAGARIA,T3,Patna,T2,KGA/MGR/001,PTN/PIA/081,210,204
NESA,KUMARGHAT,T3,Guwahati,T2,KGG/NEP/001,GHT/GSR/001,88,84
NESA,KUMARGHAT,T3,Jorhat,T2,KGG/NEP/001,JHT/MBJ/013,31,30
HAR,Kaithal,T3,Mohali,T2,KHL/SBH/001,MOH/C25/001,65,61
HAR,Kaithal,T3,Ambala,T2,KHL/SBH/001,AMB/SHA/001,37,34
ORR,KENDUJHAR,T3,Bhuvaneswar,T2,KJH/PMR/002,BWR/CIE/058,39,37
ORR,KENDUJHAR,T3,Sambalpur,T2,KJH/PMR/002,SAM/ATP/005,6,5
AP,Kakinada,T3,HYDERABAD UPPAL,T1,KKA/CHB/003,HYD/UPL/121,128,120
AP,Kakinada,T3,Vijaywada,T2,KKA/CHB/003,VJW/NMU/040,388,371
TN,KARAIKUDI,T3,Madurai,T2,KKD/SKL/001,MAD/DSP/001,48,45
TN,KARAIKUDI,T3,TRICHY,T2,KKD/SKL/001,TCY/BRD/001,63,60
UPW,Kosi,T3,Noida,T1,KKN/DML/002,NOD/S57/042,79,74
UPW,Kosi,T3,AGRA,T2,KKN/DML/002,AGR/DCY/019,17,16
KK,Kumta,T3,Hubli,T2,KMA/CLR/001,HBL/DJB/001,37,34
KK,Kumta,T3,Mangalore,T2,KMA/CLR/001,MRG/BIA/013,30,29
NESA,Kohima,T3,Guwahati,T2,KMC/NMH/001,GHT/GSR/001,46,43
NESA,Kohima,T3,Guwahati,T2,KMC/NMH/001,GHT/GSR/001,0,0
NESA,Kohima,T3,Jorhat,T2,KMC/NMH/001,JHT/MBJ/013,40,36
KL,Kumli,T3,Cochin,T2,KML/KUL/001,ENK/SAR/001,25,24
KL,Kumli,T3,Madurai,T2,KML/KUL/001,MAD/DSP/001,3,3
UPE,KANNAUJ,T3,Lucknow,T2,KNJ/BBR/001,LCK/VKH/028,44,42
UPE,KANNAUJ,T3,Gangaganj,T2,KNJ/BBR/001,GNJ/MDF/001 ,70,66
UPE,KANNAUJ,T3,Gorakhpur,T2,KNJ/BBR/001,GKP/OTN/003,16,15
AP,KURNOO,T3,Adoni,T2,KNL/GNR/001,ADI/MRD/004,3,2
AP,KURNOO,T3,HYDERABAD UPPAL,T1,KNL/GNR/001,HYD/UPL/121,108,103
KL,Kannur,T3,Calicut,T2,KNR/SUB/001,CLT/NEC/013,160,152
KL,Kannur,T3,Pollachi,T2,KNR/SUB/001,PLC/RIP/004,45,42
WB,KOLAGHAT,T3,Kharagpur (NEW),T1,KOG/RKC/001,KHP/JKP/023,113,107
WB,KOLAGHAT,T3,Asansol,T2,KOG/RKC/001,ASL/UGM/007,39,37
HAR,Karnal,T3,Mohali,T2,KRL/KSM/901,MOH/C25/001,96,92
HAR,Karnal,T3,Ambala,T2,KRL/KSM/901,AMB/SHA/001,78,74
BHJH,KURU,T3,Patna,T2,KRU/GPR/002,PTN/PIA/081,7,6
BHJH,KURU,T3,Ranchi,T2,KRU/GPR/002,RCH/NHB/040 ,9,9
RAJ,Kota,T3,Jaipur,T2,KTH/NPU/001,JPR/VIA/049,211,198
RAJ,Kota,T3,Udaipur,T2,KTH/NPU/001,UPR/MIA/015,124,117
PB,Kotakpura,T3,Jalandhar,T2,KTK/DBG/002,JLD/FCP/010,14,13
PB,Kotakpura,T3,Ludhiana,T2,KTK/DBG/002,LDN/FPA/013,47,44
MPCG,KULPA,T3,Raipur,T2,KUL/BAL/001,RAI/TBD/001,49,47
MPCG,KULPA,T3,Jabalpur,T2,KUL/BAL/001,JBL/VIJ/001,25,22
TN,KARVETNAGAR,T3,Prodattur,T2,KVN/CPR/001,PDR/PDR/004,27,24
TN,KARVETNAGAR,T3,Adoni,T2,KVN/CPR/001,ADI/MRD/004,12,11
MH,Kalyan,T3,NANDEDT2,T2,KYF/NKB/003,NND/HTN/002,63,59
MH,Kalyan,T3,Pune Epark,T2,KYF/NKB/003,PUN/EPK/059,184,170
GUJ,Limdi,T3,Ahmedabad(Changodhar),T2,LBD/AIR/001,CGR/RDM/001,47,43
GUJ,Limdi,T3,Rajkot,T2,LBD/AIR/001,RKT/NRT/030,45,41
NESA,LUMDING,T3,Guwahati,T2,LDG/DNN/001,GHT/GSR/001,27,25
NESA,LUMDING,T3,Jorhat,T2,LDG/DNN/001,JHT/MBJ/013,32,30
PB,Samrala,T3,Ludhiana,T2,LDN/BDR/007,LDN/FPA/013,29,26
PB,Samrala,T3,Mohali,T2,LDN/BDR/007,MOH/C25/001,37,35
PB,Lahargagga,T3,Ludhiana,T2,LHG/NAM/001,LDN/FPA/013,38,34
PB,Lahargagga,T3,Mohali,T2,LHG/NAM/001,MOH/C25/001,56,52
RAJ,MAKRANA,T3,Jaipur,T2,MAK/NTE/003,JPR/VIA/049,35,32
RAJ,MAKRANA,T3,Jodhpur,T2,MAK/NTE/003,JOD/BIA/007,19,17
UPE,Mau,T3,Gorakhpur,T2,MAU/SDP/001,GKP/OTN/003,146,137
UPE,Mau,T3,Varanasi,T2,MAU/SDP/001,BRS/TVS/026,205,194
AP,MAHABUBNAGAR,T3,Adoni,T2,MBN/NEW/001,ADI/MRD/004,17,16
AP,MAHABUBNAGAR,T3,HYDERABAD UPPAL,T1,MBN/NEW/001,HYD/UPL/121,135,125
WB,MALDA,T3,Behrampur-WB,T2,MDA/TPR/018,BMP/NMT/010,81,76
WB,MALDA,T3,Siliguri,T2,MDA/TPR/018,SIL/NJB/037,124,119
KK,MADIKERI,T3,Hubli,T2,MDK/MDP/001,HBL/DJB/001,13,10
KK,MADIKERI,T3,Mangalore,T2,MDK/MDP/001,MRG/BIA/013,39,34
WB,Madarihat,T3,Behrampur-WB,T2,MDT/AWN/001,BMP/NMT/010,41,27
WB,Madarihat,T3,Siliguri,T2,MDT/AWN/001,SIL/NJB/037,71,50
AP,MEDAK,T3,HYDERABAD UPPAL,T1,MED/CXR/002,HYD/UPL/121,50,47
AP,MEDAK,T3,Vijaywada,T2,MED/CXR/002,VJW/NMU/040,6,5
GUJ,Mehsana,T3,Ahmedabad(Changodhar),T2,MEH/JYN/002,CGR/RDM/001,88,81
GUJ,Mehsana,T3,Rajkot,T2,MEH/JYN/002,RKT/NRT/030,49,46
UPE,Munsiganj,T3,Lucknow,T2,MGJ/MWL/001,LCK/VKH/028,38,37
UPE,Munsiganj,T3,Varanasi,T2,MGJ/MWL/001,BRS/TVS/026,45,41
UPE,Munsiganj,T3,Gangaganj,T2,MGJ/MWL/001,GNJ/MDF/001 ,95,86
